File: main
Build ID: 987c2a02c47d9fbd7685eb9a0f711410b42ed45c
Type: cpu
Time: 2026-02-06 12:21:32 IST
Duration: 30s, Total samples = 880ms ( 2.93%)
Showing nodes accounting for 880ms, 100% of 880ms total
      flat  flat%   sum%        cum   cum%
     160ms 18.18% 18.18%      160ms 18.18%  internal/runtime/syscall.Syscall6
      60ms  6.82% 25.00%       60ms  6.82%  runtime.futex
      40ms  4.55% 29.55%       40ms  4.55%  runtime.memclrNoHeapPointers
      30ms  3.41% 32.95%       30ms  3.41%  runtime.(*stkframe).getStackMap
      30ms  3.41% 36.36%       50ms  5.68%  runtime.(*unwinder).resolveInternal
      30ms  3.41% 39.77%       30ms  3.41%  runtime.asyncPreempt
      20ms  2.27% 42.05%       20ms  2.27%  runtime.(*inlineUnwinder).srcFunc (inline)
      20ms  2.27% 44.32%       20ms  2.27%  runtime.findfunc
      20ms  2.27% 46.59%       20ms  2.27%  runtime.funcMaxSPDelta
      20ms  2.27% 48.86%       20ms  2.27%  runtime.memmove
      20ms  2.27% 51.14%       20ms  2.27%  runtime.nextFreeFast (inline)
      10ms  1.14% 52.27%       10ms  1.14%  aeshashbody
      10ms  1.14% 53.41%       10ms  1.14%  database/sql.(*DB).conn
      10ms  1.14% 54.55%       10ms  1.14%  database/sql.(*Rows).close
      10ms  1.14% 55.68%       10ms  1.14%  encoding/json.appendIndent
      10ms  1.14% 56.82%       10ms  1.14%  github.com/graphql-go/graphql.(*TypeInfo).Enter
      10ms  1.14% 57.95%       10ms  1.14%  github.com/graphql-go/graphql.(*overlappingFieldsCanBeMergedRule).getFieldsAndFragmentNames
      10ms  1.14% 59.09%       10ms  1.14%  github.com/graphql-go/graphql.NoUndefinedVariablesRule
      10ms  1.14% 60.23%       50ms  5.68%  github.com/graphql-go/graphql.VisitUsingRules.VisitInParallel.func1
      10ms  1.14% 61.36%       40ms  4.55%  github.com/graphql-go/graphql.VisitUsingRules.VisitInParallel.func2
      10ms  1.14% 62.50%       40ms  4.55%  github.com/graphql-go/graphql.completeListValue
      10ms  1.14% 63.64%      240ms 27.27%  github.com/graphql-go/graphql.resolveField
      10ms  1.14% 64.77%       10ms  1.14%  github.com/lib/pq.decideColumnFormats
      10ms  1.14% 65.91%       10ms  1.14%  internal/abi.(*Type).Kind (inline)
      10ms  1.14% 67.05%       10ms  1.14%  internal/abi.(*Type).Size (inline)
      10ms  1.14% 68.18%       10ms  1.14%  internal/abi.Name.ReadVarint (inline)
      10ms  1.14% 69.32%       10ms  1.14%  internal/runtime/maps.(*Iter).Next
      10ms  1.14% 70.45%       10ms  1.14%  net.(*OpError).Timeout
